phenotype,ancestry,Gene,gene_name,Chr,Start,End,No.SNPs,SNP_start,SNP_end,TopSNP,TopSNP_Pvalue,No.Eigenvalues,Chisq_mBAT,P_mBATcombo,P_mBAT,Chisq_fastBAT,P_fastBAT,P_mBATcombo_bonferroni
N06A,EUR,ENSG00000213722,DDAH2,6,31694815,31698394,185,rs9267533,rs909267,rs707930,6.19292e-08,16,72.4245,3.45271e-09,3.7392e-09,592.686,3.20699e-09,8.8044105e-07
N06A,EUR,ENSG00000186446,ZNF501,3,44771088,44778575,143,rs11712337,rs7642843,rs6795322,1.87256e-09,22,72.1448,1.67797e-07,3.02804e-07,264.511,1.16054e-07,4.2788235e-05
N06A,EUR,ENSG00000241106,HLA-DOB,6,32780540,32788243,1032,rs9276584,rs6905477,rs73410785,6.65301e-10,18,71.9262,3.71883e-08,2.12793e-08,989.632,1.47353e-07,9.4830165e-06
N06A,EUR,ENSG00000213719,CLIC1,6,31698358,31707540,190,rs805290,rs112119371,rs707930,6.19292e-08,17,71.5529,6.88976e-09,1.16335e-08,628.029,4.89412e-09,1.7568888e-06
N06A,EUR,ENSG00000115241,PPM1G,2,27604062,27632458,158,rs192381441,rs61747073,rs148029292,4.97897e-05,23,71.2851,1.53692e-06,7.68896e-07,167.582,0.00135573,0.0003919146
N06A,EUR,ENSG00000250264,ENSG00000250264,6,32781544,32806599,1141,rs1573647,rs1029295,rs73410785,6.65301e-10,18,70.7884,4.45082e-08,3.32255e-08,1083.7,6.73941e-08,1.1349591e-05
N06A,EUR,ENSG00000114349,GNAT1,3,50229043,50235129,154,rs12636449,rs114872512,rs2236942,9.20478e-06,23,70.6847,1.43809e-06,9.52921e-07,257.808,2.92972e-06,0.00036671295
N06A,EUR,ENSG00000164062,APEH,3,49711447,49721404,155,rs62262673,rs3749237,rs13093525,1.79712e-07,17,70.5127,1.58618e-08,1.75972e-08,245.262,1.44379e-08,4.044759e-06
N06A,EUR,ENSG00000103657,HERC1,15,63900817,64126147,865,rs543034710,rs62023117,rs11635593,2.32288e-05,23,70.396,2.10177e-06,1.05625e-06,548.221,0.000207163,0.00053595135
N06A,EUR,ENSG00000131323,TRAF3,14,103243786,103377837,574,rs148280054,rs10136828,rs11850852,1.03068e-08,45,70.3397,3.10849e-08,0.0092242,1077.49,1.55425e-08,7.9266495e-06
N06A,EUR,ENSG00000185614,INKA1,3,49840694,49842463,138,rs9872864,rs2352975,rs7621797,1.5861e-07,16,70.2156,1.30083e-08,9.14768e-09,207.384,2.2507e-08,3.3171165e-06
N06A,EUR,ENSG00000197361,FBXL22,15,63889552,63894627,250,rs12910209,rs142044246,rs12910209,3.85682e-05,17,70.0334,4.25292e-08,2.12836e-08,295.336,2.38787e-05,1.0844946e-05
N06A,EUR,ENSG00000213672,NCKIPSD,3,48711277,48723797,155,rs13063312,rs9873227,rs73078367,8.31616e-10,20,69.7723,3.64743e-07,1.98409e-07,251.09,2.25615e-06,9.3009465e-05
N06A,EUR,ENSG00000240065,PSMB9,6,32811913,32827628,867,rs9276720,rs154988,rs73410785,6.65301e-10,17,69.7447,4.42282e-09,2.38634e-08,1111.01,2.43727e-09,1.1278191e-06
N06A,EUR,ENSG00000204267,TAP2,6,32789610,32806516,1073,rs1383265,rs1029295,rs73410785,6.65301e-10,17,69.7176,3.40519e-08,2.41215e-08,1048.65,5.78805e-08,8.6832345e-06
N06A,EUR,ENSG00000138030,KHK,2,27309615,27323630,147,rs13021112,rs1275513,rs6749216,2.97602e-08,22,69.5808,9.43822e-08,7.69797e-07,394.572,5.0273e-08,2.4067461e-05
N06A,EUR,ENSG00000197153,H3C12,6,27858093,27860884,242,rs201002,rs4499912,rs201000,4.60488e-07,19,69.4562,2.19345e-07,1.1324e-07,365.022,3.4807e-06,5.5932975e-05
N06A,EUR,ENSG00000146352,CLVS2,6,123317380,123394070,520,rs9375198,rs9320915,rs9490628,9.63078e-08,30,69.3879,1.48431e-06,5.86055e-05,628.856,7.51675e-07,0.00037849905
N06A,EUR,ENSG00000228727,SAPCD1,6,31730773,31732628,185,rs385306,rs16867582,rs707930,6.19292e-08,17,69.2838,1.49096e-08,2.86383e-08,489.261,1.00783e-08,3.801948e-06
N06A,EUR,ENSG00000204366,ZBTB12,6,31867390,31869863,280,rs149549268,rs4151672,rs2736428,1.41915e-08,21,68.9618,1.19711e-08,5.14997e-07,756.835,6.05592e-09,3.0526305e-06
N06A,EUR,ENSG00000176020,AMIGO3,3,49754262,49757117,137,rs2131109,rs9859153,rs7621797,1.5861e-07,17,68.9502,1.91312e-08,3.26737e-08,219.359,1.35253e-08,4.878456e-06
N06A,EUR,ENSG00000204264,PSMB8,6,32808494,32812456,804,rs1158785,rs78456409,rs73410785,6.65301e-10,17,68.6876,1.43432e-08,3.62428e-08,1062.36,8.9408e-09,3.657516e-06
N06A,EUR,ENSG00000166278,C2,6,31865562,31913450,366,rs12210887,rs616634,rs2736428,1.41915e-08,22,68.4896,7.75934e-09,1.14082e-06,891.397,3.89291e-09,1.9786317e-06
N06A,EUR,ENSG00000173531,MST1,3,49721380,49726934,149,rs62262675,rs11714957,rs13093525,1.79712e-07,16,68.1657,1.9148e-08,2.08634e-08,218.547,1.76934e-08,4.88274e-06
N06A,EUR,ENSG00000278677,H2AC17,6,27860477,27860963,238,rs35819751,rs4499912,rs200991,1.00451e-06,19,68.0241,3.76512e-07,1.95335e-07,337.257,5.19488e-06,9.601056e-05
N06A,EUR,ENSG00000274641,H2BC17,6,27861203,27861669,240,rs200997,rs150446816,rs200991,1.00451e-06,19,67.8618,4.02194e-07,2.07737e-07,339.36,6.29105e-06,0.00010255947
N06A,EUR,ENSG00000188338,SLC38A3,3,50242679,50258918,166,rs2526390,rs4688739,rs9839427,1.39029e-06,24,67.8443,2.50954e-06,4.61466e-06,303.637,1.72337e-06,0.0006399327
N06A,EUR,ENSG00000276903,H2AC16,6,27833095,27833576,211,rs45458699,rs1497525,rs201000,4.60488e-07,19,67.7399,3.17127e-07,2.17565e-07,381.831,5.84694e-07,8.0867385e-05
N06A,EUR,ENSG00000081177,EXD2,14,69658215,69710737,323,rs11846184,rs10873218,rs4243633,1.14481e-09,27,67.5999,6.1131e-08,2.4508e-05,640.943,3.06037e-08,1.5588405e-05
N06A,EUR,ENSG00000184357,H1-5,6,27834570,27835366,211,rs200504,rs731132,rs201000,4.60488e-07,19,67.505,3.86498e-07,2.37814e-07,385.508,1.03125e-06,9.855699e-05
N06A,EUR,ENSG00000204394,VARS1,6,31745295,31763529,228,rs11540321,rs144527861,rs707930,6.19292e-08,17,67.0218,2.69751e-08,6.97826e-08,552.764,1.6719e-08,6.8786505e-06
N06A,EUR,ENSG00000204371,EHMT2,6,31847536,31865464,318,rs565599,rs113197809,rs2736428,1.41915e-08,21,66.9861,1.71952e-09,1.06008e-06,833.968,8.60456e-10,4.384776e-07
N06A,EUR,ENSG00000175203,DCTN2,12,57923416,57941007,171,rs79948748,rs75335160,rs7304550,1.7429e-09,25,66.9365,1.41726e-07,1.08576e-05,330.604,7.13287e-08,3.614013e-05
N06A,EUR,ENSG00000204386,NEU1,6,31825436,31830682,277,rs552412,rs9267671,rs2736428,1.41915e-08,21,66.6514,4.67705e-10,1.1971e-06,777.837,2.33898e-10,1.19264775e-07
N06A,EUR,ENSG00000164061,BSN,3,49591910,49708982,298,rs74471041,rs4768,rs11130207,9.86234e-08,20,66.6493,2.63739e-08,6.35621e-07,401.03,1.34663e-08,6.7253445e-06
N06A,EUR,ENSG00000275379,H3C11,6,27839623,27840124,213,rs78718062,rs9461420,rs201000,4.60488e-07,19,66.6084,5.68028e-07,3.33702e-07,362.856,1.90743e-06,0.00014484714
N06A,EUR,ENSG00000186470,BTN3A2,6,26365387,26378548,513,rs79079566,rs12201546,rs10456045,1.64239e-09,13,66.5889,3.44881e-09,3.38678e-09,753.014,3.51316e-09,8.7944655e-07
N06A,EUR,ENSG00000233822,H2BC15,6,27806323,27823487,251,rs137865213,rs2130355,rs200486,4.33128e-07,19,66.0284,4.8221e-07,4.15153e-07,399.436,5.75102e-07,0.00012296355
N06A,EUR,ENSG00000139990,DCAF5,14,69517598,69619867,410,rs151063677,rs77684563,rs61981648,3.34751e-10,23,65.968,1.44893e-09,5.01581e-06,758.216,7.24568e-10,3.6947715e-07
N06A,EUR,ENSG00000213689,TREX1,3,48507210,48509044,140,rs190175147,rs6762888,rs114035345,0.000297372,20,65.6406,1.83902e-06,9.22298e-07,160.857,0.000304017,0.0004689501
N06A,EUR,ENSG00000138074,SLC5A6,2,27422455,27435826,260,rs1275511,rs72858465,rs34730887,1.42416e-08,19,65.5144,2.322e-07,5.03552e-07,335.683,1.50889e-07,5.9211e-05
N06A,EUR,ENSG00000204388,HSPA1B,6,31795515,31798031,252,rs34585796,rs41267086,rs2736428,1.41915e-08,18,65.1223,2.54369e-10,2.96624e-07,748.043,1.27239e-10,6.4864095e-08
N06A,EUR,ENSG00000114316,USP4,3,49314577,49378145,210,rs9826525,rs9842132,rs35174559,3.50476e-07,17,64.9707,2.65464e-07,1.55431e-07,268.093,9.08882e-07,6.769332e-05
N06A,EUR,ENSG00000204308,RNF5,6,32146182,32148570,346,rs3830076,rs6901175,rs3134798,6.05167e-08,24,64.9008,2.12127e-06,1.2587e-05,691.703,1.15823e-06,0.00054092385
N06A,EUR,ENSG00000173540,GMPPB,3,49754277,49761406,150,rs2131109,rs76424424,rs7621797,1.5861e-07,17,64.8631,4.98084e-08,1.62066e-07,220.947,2.9426e-08,1.2701142e-05
N06A,EUR,ENSG00000204385,SLC44A4,6,31830969,31846823,302,rs12213612,rs7746553,rs2736428,1.41915e-08,21,64.6754,1.92973e-09,2.4425e-06,837.773,9.65244e-10,4.9208115e-07
N06A,EUR,ENSG00000135407,AVIL,12,58191159,58212517,154,rs184712,rs5017863,rs4760332,2.5185e-09,25,64.2953,1.46228e-07,2.60935e-05,316.412,7.33193e-08,3.728814e-05
N06A,EUR,ENSG00000123297,TSFM,12,58176544,58201854,151,rs3893002,rs10747784,rs4760332,2.5185e-09,26,64.2409,2.12545e-07,4.39881e-05,308.06,1.0653e-07,5.4198975e-05
N06A,EUR,ENSG00000275126,H4C13,6,27840926,27841312,214,rs200499,rs112051980,rs201000,4.60488e-07,18,64.2272,5.95689e-07,4.1713e-07,368.818,1.04153e-06,0.000151900695
N06A,EUR,ENSG00000242574,HLA-DMB,6,32902406,32908805,542,rs1002985,rs142488396,rs114463908,1.57702e-10,22,64.0892,2.22251e-06,5.43931e-06,503.933,1.39657e-06,0.00056674005
N06A,EUR,ENSG00000155980,KIF5A,12,57939809,57980416,205,rs796546,rs141163570,rs1678536,3.72466e-09,28,63.8822,1.72836e-06,0.000127055,341.534,8.701e-07,0.0004407318
N06A,EUR,ENSG00000110921,MVK,12,110011060,110035930,478,rs56330650,rs10850542,rs10850435,5.19673e-07,22,63.8417,2.02682e-06,5.93157e-06,681.782,1.22223e-06,0.0005168391
N06A,EUR,ENSG00000204392,LSM2,6,31765173,31774743,225,rs3130484,rs2395079,rs707930,6.19292e-08,17,63.7797,4.87588e-08,2.46666e-07,578.567,2.70532e-08,1.2433494e-05
N06A,EUR,ENSG00000204390,HSPA1L,6,31777396,31783060,217,rs3117577,rs515688,rs707930,6.19292e-08,17,63.6512,2.75485e-08,2.59237e-07,568.322,1.45472e-08,7.0248675e-06
N06A,EUR,ENSG00000164068,RNF123,3,49726971,49758962,182,rs554512147,rs34522271,rs7621797,1.5861e-07,18,63.4167,5.16099e-08,5.67316e-07,236.603,2.70347e-08,1.31605245e-05
N06A,EUR,ENSG00000111012,CYP27B1,12,58156117,58162769,133,rs701006,rs11172349,rs2301551,5.70281e-08,23,63.2341,1.8543e-06,1.28487e-05,309.942,9.99256e-07,0.0004728465
N06A,EUR,ENSG00000168131,OR2B2,6,27878963,27880174,255,rs200983,rs138489966,rs557042,1.79512e-06,17,63.1929,6.06701e-07,3.09419e-07,331.142,1.54681e-05,0.000154708755
N06A,EUR,ENSG00000204310,AGPAT1,6,32135989,32145873,339,rs62402721,rs428947,rs3134798,6.05167e-08,25,62.9371,1.20066e-06,4.06861e-05,693.858,6.09322e-07,0.0003061683
N06A,EUR,ENSG00000232112,TMA7,3,48481667,48485616,135,rs9826195,rs142063845,rs143861937,2.68042e-06,17,62.866,7.01144e-07,3.50984e-07,143.221,0.000298523,0.00017879172
N06A,EUR,ENSG00000214655,ZSWIM8,10,75545364,75561555,158,rs12253408,rs2688626,rs2459446,3.12961e-06,19,62.5076,1.49104e-06,1.54237e-06,189.265,1.44302e-06,0.0003802152
N06A,EUR,ENSG00000037897,METTL1,12,58162254,58165902,128,rs2239891,rs1801928,rs2301551,5.70281e-08,22,62.4705,1.33057e-06,9.5613e-06,295.769,7.15037e-07,0.00033929535
N06A,EUR,ENSG00000187837,H1-2,6,26055968,26056698,266,rs9393681,rs198848,rs34197618,8.06978e-06,17,62.2769,8.80239e-07,4.40252e-07,195.411,0.00146393,0.000224460945
N06A,EUR,ENSG00000204389,HSPA1A,6,31783320,31785723,210,rs3101017,rs693906,rs707930,6.19292e-08,17,62.2584,5.1291e-08,4.43401e-07,491.835,2.72199e-08,1.3079205e-05
N06A,EUR,ENSG00000138080,EMILIN1,2,27301483,27309271,124,rs77629370,rs2384573,rs6749216,2.97602e-08,20,62.1312,2.50577e-07,3.31568e-06,341.97,1.30208e-07,6.3897135e-05
N06A,EUR,ENSG00000178149,DALRD3,3,49052921,49059726,88,rs6446196,rs139860867,rs73082357,1.75628e-06,18,61.9876,6.08121e-09,9.72808e-07,167.748,3.05014e-09,1.55070855e-06
N06A,EUR,ENSG00000178057,NDUFAF3,3,49057892,49060928,87,rs4974078,rs7621347,rs73082357,1.75628e-06,18,61.8993,6.60508e-09,1.00562e-06,165.214,3.31342e-09,1.6842954e-06
N06A,EUR,ENSG00000197238,H4C11,6,27791870,27792258,209,rs1985099,rs77576207,rs200486,4.33128e-07,17,61.7201,3.46636e-07,5.45119e-07,333.193,2.54112e-07,8.839218e-05
N06A,EUR,ENSG00000232629,HLA-DQB2,6,32723875,32731309,1936,rs1617322,rs17213693,rs2067578,7.89583e-10,12,61.7143,2.19427e-08,1.09725e-08,828.682,0.000106366,5.5953885e-06
N06A,EUR,ENSG00000084693,AGBL5,2,27265232,27293490,149,rs62130503,rs7588926,rs6749216,2.97602e-08,23,61.6618,2.41991e-07,2.18956e-05,301.768,1.21668e-07,6.1707705e-05
N06A,EUR,ENSG00000164078,MST1R,3,49924435,49941306,146,rs9858428,rs11709503,rs1996664,9.29537e-07,16,61.597,5.36412e-07,2.8106e-07,283.592,5.8645e-06,0.00013678506
N06A,EUR,ENSG00000204396,VWA7,6,31733367,31745105,198,rs11575849,rs2763979,rs707930,6.19292e-08,17,61.4146,3.04477e-08,6.12757e-07,507.995,1.56117e-08,7.7641635e-06
N06A,EUR,ENSG00000196787,H2AC11,6,27100822,27101314,163,rs11969113,rs12210905,rs55834529,2.62874e-07,18,61.3568,1.93312e-06,1.23273e-06,195.321,4.47652e-06,0.0004929456
N06A,EUR,ENSG00000175215,CTDSP2,12,58213710,58240512,181,rs117095012,rs3751331,rs4760332,2.5185e-09,25,61.1492,5.83108e-07,7.2474e-05,361.032,2.92732e-07,0.00014869254
N06A,EUR,ENSG00000164051,CCDC51,3,48473574,48481866,144,rs7635522,rs9851771,rs143861937,2.68042e-06,17,60.6746,1.61977e-06,8.12907e-07,144.111,0.000217785,0.00041304135
N06A,EUR,ENSG00000275221,H2AC15,6,27805658,27806153,214,rs480699,rs200974,rs200486,4.33128e-07,17,59.8122,3.08522e-07,1.1286e-06,353.893,1.78684e-07,7.867311e-05
N06A,EUR,ENSG00000237541,HLA-DQA2,6,32709168,32714975,2218,rs3134967,rs2187684,rs2067578,7.89583e-10,12,59.7237,5.06059e-08,2.53477e-08,1070.83,1.43217e-05,1.29045045e-05
N06A,EUR,ENSG00000123427,EEF1AKMT3,12,58165275,58176324,140,rs77065481,rs4760171,rs4760332,2.5185e-09,24,59.7092,4.03422e-07,7.02016e-05,347.857,2.02292e-07,0.00010287261
N06A,EUR,ENSG00000111801,BTN3A3,6,26440700,26453643,355,rs2076029,rs75496707,rs10456045,1.64239e-09,12,59.6283,2.08985e-08,2.63825e-08,574.498,1.7302e-08,5.3291175e-06
N06A,EUR,ENSG00000273542,H4C12,6,27798952,27799338,201,rs12174918,rs12214465,rs200486,4.33128e-07,17,58.9348,3.5889e-07,1.57356e-06,337.157,2.02542e-07,9.151695e-05
N06A,EUR,ENSG00000178035,IMPDH2,3,49061758,49066880,92,rs114183302,rs7626445,rs73082357,1.75628e-06,17,58.7861,9.33645e-10,1.66447e-06,168.099,4.66954e-10,2.38079475e-07
N06A,EUR,ENSG00000139428,MMAB,12,109991520,110011385,423,rs7139074,rs11615462,rs10850435,5.19673e-07,18,58.1072,1.08186e-06,4.12287e-06,538.032,6.2262e-07,0.0002758743
N06A,EUR,ENSG00000178252,WDR6,3,49044495,49053386,93,rs73082331,rs139683429,rs73082331,1.44837e-06,15,58.0299,1.5031e-08,5.48304e-07,164.202,7.61994e-09,3.832905e-06
N06A,EUR,ENSG00000124635,H2BC11,6,27093676,27100574,170,rs77865139,rs72843615,rs55834529,2.62874e-07,18,57.8918,2.59232e-06,4.46296e-06,209.224,1.82667e-06,0.0006610416
N06A,EUR,ENSG00000166126,AMN,14,103389000,103399933,255,rs147565097,rs2269322,rs11629241,2.89423e-07,34,57.7555,1.59052e-06,0.00670012,505.112,7.95354e-07,0.0004055826
N06A,EUR,ENSG00000145029,NICN1,3,49459766,49466759,160,rs4955413,rs7355800,rs73088161,7.47826e-07,17,57.6088,2.23687e-07,2.59284e-06,198.284,1.16885e-07,5.7040185e-05
N06A,EUR,ENSG00000283189,ENSG00000283189,3,49454210,49466747,170,rs67485053,rs7355800,rs73088161,7.47826e-07,17,57.4864,2.23056e-07,2.71461e-06,198.317,1.16306e-07,5.687928e-05
N06A,EUR,ENSG00000244255,ENSG00000244255,6,31895475,31919825,265,rs9267658,rs616634,rs2844458,5.04792e-08,19,57.4329,1.47928e-06,9.78578e-06,459.061,8.00113e-07,0.0003772164
N06A,EUR,ENSG00000186943,OR13C8,9,107331449,107332411,355,rs35669681,rs1425570,rs1523692,2.07191e-07,16,57.271,1.74285e-06,1.49831e-06,372.837,2.08277e-06,0.00044442675
N06A,EUR,ENSG00000112763,BTN2A1,6,26458132,26476849,346,rs75782365,rs41267935,rs35555795,5.6294e-09,11,57.0407,6.11356e-08,3.2704e-08,390.264,4.67988e-07,1.5589578e-05
N06A,EUR,ENSG00000257921,ENSG00000257921,12,58166443,58191337,161,rs77065481,rs10877028,rs4760332,2.5185e-09,26,56.4354,2.19153e-07,0.000495771,413.069,1.09601e-07,5.5884015e-05
N06A,EUR,ENSG00000196747,H2AC13,6,27775951,27776445,200,rs148964425,rs150644076,rs200486,4.33128e-07,16,56.3861,9.83712e-07,2.10093e-06,332.975,6.42205e-07,0.00025084656
N06A,EUR,ENSG00000185130,H2BC13,6,27775257,27775707,198,rs148964425,rs72847356,rs200486,4.33128e-07,16,56.3828,8.80127e-07,2.10354e-06,329.71,5.56479e-07,0.000224432385
N06A,EUR,ENSG00000276368,H2AC14,6,27782080,27782555,199,rs16867983,rs146435830,rs200486,4.33128e-07,16,56.3616,6.7621e-07,2.12061e-06,344.556,4.02237e-07,0.00017243355
N06A,EUR,ENSG00000241404,EGFL8,6,32132372,32136058,245,rs8283,rs3134797,rs3134798,6.05167e-08,21,56.3476,1.61505e-07,4.48612e-05,538.537,8.08982e-08,4.1183775e-05
N06A,EUR,ENSG00000278828,H3C10,6,27777829,27779078,200,rs7773070,rs9295751,rs200486,4.33128e-07,16,56.2871,6.03745e-07,2.18166e-06,348.471,3.5035e-07,0.000153954975
N06A,EUR,ENSG00000124508,BTN2A2,6,26383324,26395102,468,rs73401243,rs3846846,rs10456045,1.64239e-09,13,56.1279,2.10152e-08,2.55909e-07,699.137,1.09575e-08,5.358876e-06
N06A,EUR,ENSG00000258388,PPT2-EGFL8,6,32121622,32139755,291,rs4711286,rs45855,rs3134798,6.05167e-08,22,55.9552,1.74233e-07,8.6781e-05,668.164,8.72042e-08,4.4429415e-05
N06A,EUR,ENSG00000026950,BTN3A1,6,26402465,26415436,459,rs72836464,rs12202419,rs10456045,1.64239e-09,11,55.8449,8.63776e-08,5.4257e-08,584.758,2.11714e-07,2.2026288e-05
N06A,EUR,ENSG00000188315,C3orf62,3,49306029,49314665,130,rs149407215,rs11707940,rs2117938,3.4601e-07,15,55.7896,2.32042e-06,1.315e-06,169.186,9.85622e-06,0.0005917071
N06A,EUR,ENSG00000228474,OST4,2,27293340,27294522,115,rs7606840,rs11126871,rs6749216,2.97602e-08,20,55.5628,3.47742e-07,3.38187e-05,269.638,1.74769e-07,8.867421e-05
N06A,EUR,ENSG00000124557,BTN1A1,6,26500531,26510653,277,rs17539358,rs9467790,rs35555795,5.6294e-09,13,54.7051,2.07785e-07,4.55204e-07,349.824,1.34616e-07,5.2985175e-05
N06A,EUR,ENSG00000273703,H2BC14,6,27782800,27783267,198,rs9468220,rs200981,rs200486,4.33128e-07,16,54.5443,7.15273e-07,4.22417e-06,343.786,3.90716e-07,0.000182394615
N06A,EUR,ENSG00000221988,PPT2,6,32121218,32131455,249,rs13194586,rs206016,rs3096688,7.54314e-08,22,52.6098,2.14267e-07,0.00025737,525.359,1.07178e-07,5.4638085e-05
N06A,EUR,ENSG00000145020,AMT,3,49454211,49460118,157,rs67485053,rs189191355,rs73088161,7.47826e-07,15,52.2556,2.34633e-07,5.12435e-06,182.597,1.20065e-07,5.9831415e-05
N06A,EUR,ENSG00000179344,HLA-DQB1,6,32627244,32636160,2762,rs35899011,rs9275659,rs9274724,5.50762e-10,11,51.6365,3.41361e-08,3.17246e-07,3456.98,1.80385e-08,8.7047055e-06
N06A,EUR,ENSG00000240771,ARHGEF25,12,58003963,58011028,198,rs117428475,rs1678539,rs1678536,3.72466e-09,22,51.4254,2.27147e-06,0.000375059,333.765,1.13919e-06,0.00057922485
N06A,EUR,ENSG00000178498,DTX3,12,57998405,58003587,185,rs115048524,rs34919374,rs1678536,3.72466e-09,23,51.372,2.52172e-06,0.000606716,332.1,1.26348e-06,0.0006430386
N06A,EUR,ENSG00000145022,TCTA,3,49449645,49453909,156,rs974495,rs73073015,rs73088161,7.47826e-07,14,50.5555,1.14435e-06,4.92734e-06,172.032,6.47346e-07,0.00029180925
N06A,EUR,ENSG00000196735,HLA-DQA1,6,32595956,32614839,2669,rs9270475,rs114948848,rs9274724,5.50762e-10,10,49.9706,1.26823e-07,2.70255e-07,3875.58,8.28518e-08,3.2339865e-05
N06A,EUR,ENSG00000119777,TMEM214,2,27255778,27264562,120,rs714513,rs6547413,rs7575465,2.98921e-08,22,49.6373,9.84807e-07,0.000656387,189.854,4.92773e-07,0.000251125785
N06A,EUR,ENSG00000285085,ENSG00000285085,6,32118272,32122150,221,rs116298992,rs1044506,rs3096688,7.54314e-08,21,48.2029,8.77048e-07,0.000645231,447.867,4.38822e-07,0.00022364724
N06A,EUR,ENSG00000204314,PRRT1,6,32116136,32120860,221,rs17421624,rs151002670,rs3096688,7.54314e-08,21,47.976,6.93747e-07,0.00069284,459.004,3.47047e-07,0.000176905485
N06A,EUR,ENSG00000182952,HMGN4,6,26538594,26547161,279,rs16891727,rs3807029,rs13190739,4.06488e-09,14,46.8604,9.151e-08,2.02648e-05,381.289,4.58585e-08,2.333505e-05
N06A,EUR,ENSG00000198561,CTNND1,11,57520715,57587018,193,rs544446,rs671508,rs576859,1.73973e-06,21,46.112,2.39207e-06,0.00123474,207.823,1.19719e-06,0.00060997785
N06A,EUR,ENSG00000181315,ZNF322,6,26634611,26659980,237,rs9379893,rs3873182,rs35076545,3.7034e-09,10,44.2548,6.27367e-08,2.96231e-06,229.555,3.1704e-08,1.59978585e-05
N06A,EUR,ENSG00000254732,ENSG00000254732,11,57509251,57572243,195,rs75875769,rs647264,rs576859,1.73973e-06,22,43.5819,2.48981e-06,0.00399866,210.199,1.24529e-06,0.00063490155
N06A,EUR,ENSG00000146109,ABT1,6,26597181,26600967,289,rs9467784,rs2130657,rs35076545,3.7034e-09,12,43.4194,2.14764e-07,1.91698e-05,297.091,1.07987e-07,5.476482e-05
N06A,EUR,ENSG00000196126,HLA-DRB1,6,32545679,32557625,1737,rs28534491,rs117353881,rs3129758,9.15547e-08,8,42.901,1.41018e-06,9.16942e-07,2221.74,3.0518e-06,0.0003595959
N06A,EUR,ENSG00000168477,TNXB,6,32008930,32083111,254,rs113720465,rs9267815,rs114334832,2.15057e-07,21,42.1696,1.98635e-06,0.00400594,458.818,9.93423e-07,0.00050651925
N06A,EUR,ENSG00000277556,OR13C5,9,107360738,107361694,388,rs10123330,rs4743733,rs1523692,2.07191e-07,11,41.9172,6.24163e-07,1.67404e-05,380.358,3.1801e-07,0.000159161565
N06A,EUR,ENSG00000203737,GPR52,1,174417102,174418683,218,rs78176042,rs58063264,rs12092768,1.59092e-05,17,41.4813,1.72686e-06,0.000796499,211.073,8.64368e-07,0.0004403493
N06A,EUR,ENSG00000224389,C4B,6,31982572,32003195,153,rs13196409,rs169496,rs204887,7.59652e-06,17,37.9749,1.93624e-06,0.00247734,294.118,9.685e-07,0.0004937412
N06A,EUR,ENSG00000276119,OR13C2,9,107366952,107367908,386,rs117672600,rs1364949,rs1523692,2.07191e-07,10,37.9728,1.68157e-07,3.83682e-05,414.234,8.42632e-08,4.2880035e-05
N06A,EUR,ENSG00000136839,OR13C9,9,107379529,107380485,397,rs10761039,rs34887923,rs10761065,3.58024e-06,9,34.4289,1.0625e-06,7.51059e-05,307.05,5.35036e-07,0.0002709375
N06AA,AFR,ENSG00000284730,TMDD1,12,52207705,52208709,276,rs7963772,rs74605440,rs143305124,7.63051e-05,39,95.2979,2.55379e-06,1.29535e-06,469.756,8.96233e-05,2.55379e-06
N06AA,EUR,ENSG00000149294,NCAM1,11,112831969,113149158,1401,rs4937833,rs10502172,rs11214476,1.77666e-09,98,183.887,5.2488e-10,3.43092e-07,1361.26,2.62641e-10,3.67416e-09
N06AA,EUR,ENSG00000188338,SLC38A3,3,50242679,50258918,195,rs2526390,rs4688739,rs12631337,1.06674e-06,34,88.313,1.91139e-06,1.02308e-06,291.425,1.45094e-05,1.337973e-05
N06AA,EUR,ENSG00000175115,PACS1,11,65837743,66012215,551,rs147398525,rs34837704,rs482414,5.94889e-07,38,75.4143,2.23411e-06,0.000287205,588.969,1.12141e-06,1.563877e-05
N06AA,EUR,ENSG00000175229,GAL3ST3,11,65808236,65816632,286,rs149516544,rs537497,rs1151530,8.50609e-07,33,63.994,3.8069e-07,0.000967129,441.449,1.90383e-07,2.66483e-06
N06AA,EUR,ENSG00000087365,SF3B2,11,65818200,65836779,297,rs144765366,rs524281,rs527737,6.46245e-07,33,58.6695,4.15705e-07,0.00387714,450.103,2.07864e-07,2.909935e-06
N06AA,EUR,ENSG00000175294,CATSPER1,11,65784223,65793950,324,rs76640991,rs144101665,rs577013,1.11336e-06,29,56.3561,1.11572e-06,0.00171498,424.077,5.58041e-07,7.81004e-06
N06AA,EUR,ENSG00000215252,GOLGA8B,15,34817296,34880704,276,rs12591758,rs56927262,rs28613474,5.1708e-08,17,37.5244,2.54226e-06,0.00285551,340.418,1.2717e-06,1.779582e-05
N06AA,SAS,ENSG00000178026,LRRC75B,22,24981588,24989175,314,rs62231927,rs144810123,rs6004193,2.48662e-06,61,85.6976,2.30012e-06,0.0202452,602.223,1.15012e-06,2.30012e-06
N06AB,EUR,ENSG00000140945,CDH13,16,82660570,83834245,8083,rs74676455,rs93131,rs12448382,3.0802e-08,424,553.743,2.49304e-06,2.15319e-05,6049.81,1.32312e-06,3.490256e-05
